Frame,TimeStamp,M1,M2,M3
1,0,25.6857,20.4857,27.1143
2,1.135,25.2286,19.8571,24.4286
3,2.27,25.2,19.6,25.0571
4,3.33,24.8571,19.1714,25.6571
5,4.435,25.1429,19.5143,24.7143
6,5.5225,26.8286,20.4286,25.1143
7,6.595,26.3143,20.7714,25.0857
8,7.7,28.5429,27.7429,24.6571
9,8.7575,44.2571,27.3143,25.1143
10,9.8475,104.429,26.9143,25.2
11,10.93,173.286,27.8857,26.1429
12,11.97,201.657,29.9143,27.7143
13,13.0825,212.829,46.9143,44.5714
14,14.19,213.714,113.486,118.114
15,15.3125,209.8,175.029,187.943
16,16.4425,188.029,205.4,222.514
17,17.575,161.514,208.286,225
18,18.69,131.971,200.886,222.657
19,19.81,111.771,197.857,211.914
20,20.9275,84.2571,175.629,193.086
21,22.025,72.6286,149.943,163.714
22,23.13,67.6,132.143,140.229
23,24.2025,63.8857,105.943,119.714
24,25.265,61.6571,80.7714,90.5429
25,26.3625,63.4857,69.5429,72.3429
26,27.44,64.4286,61.2857,64.1143
27,28.475,66.3714,57.4,60.7143
28,29.57,67.0286,56.2,56.8286
29,30.655,69.6571,56.4571,58.6571
30,31.6825,72.9143,58.2,60.2
31,32.7425,73.8857,60.2,60
32,33.74,77.5143,63.4857,60.2571
33,34.7425,80.5143,64.9714,62.3143
34,35.77,83.1143,67.6,68.4571
35,36.805,84.5143,68.9429,69.0286
36,37.8825,86.6286,70.8857,71.7714
37,38.9725,86.2857,74.9143,79.4
38,40.0275,89.7714,77.5143,82.5429
39,41.11,90.6286,80.2857,84.8571
40,42.185,88.4571,82.7714,89.2571
